date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:24:45	446731/446731	---MCZ	200	added ('OK')	text/xml	etag:%221485b-6d10b-874afc40%22	http://catalog.wlimg.com/main-common/fonts/carterone.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/carterone.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:46	43220/43220	---M-Z	200	added ('OK')	text/plain	etag:%2214851-a8d4-871d3580%22	http://catalog.wlimg.com/main-common/fonts/droidserif.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/droidserif.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:47	138203/138203	---M-Z	200	added ('OK')	text/xml	etag:%2214854-21bdb-871d3580%22	http://catalog.wlimg.com/main-common/fonts/droidserif.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/droidserif.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:53	46280/46280	---M-Z	200	added ('OK')	text/plain	etag:%2214868-b4c8-87974780%22	http://catalog.wlimg.com/main-common/fonts/fondamento.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/fondamentod41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:58	118768/118768	---M-Z	200	added ('OK')	text/plain	etag:%2214840-1cff0-86c1a800%22	http://catalog.wlimg.com/main-common/fonts/fondamento.ttf	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/fondamento.ttf	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:58	45792/45792	---M-Z	200	added ('OK')	application/x-font-woff	etag:%221483d-b2e0-86a32380%22	http://catalog.wlimg.com/main-common/fonts/fondamento.woff	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/fondamento.woff	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:58	500945/500945	---MCZ	200	added ('OK')	text/xml	etag:%2214847-7a4d1-86ef6ec0%22	http://catalog.wlimg.com/main-common/fonts/fondamento.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/fondamento.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:59	39316/39316	---M-Z	200	added ('OK')	text/plain	etag:%2214852-9994-871d3580%22	http://catalog.wlimg.com/main-common/fonts/francoisone.eot	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/francoisone.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:24:59	350519/350519	---M-Z	200	added ('OK')	text/xml	etag:%2214875-55937-87e392c0%22	http://catalog.wlimg.com/main-common/fonts/francoisone.svg	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/francoisone.svg	(from http://catalog.wlimg.com/main-common/catalog_common.css)
01:25:01	30342/30342	---M-Z	200	added ('OK')	text/plain	etag:%2214853-7686-871d3580%22	http://catalog.wlimg.com/main-common/fonts/josefinsans.eot?	C:/My%20Web%20Sites/allied/catalog.wlimg.com/main-common/fonts/josefinsansd41d.eot	(from http://catalog.wlimg.com/main-common/catalog_common.css)
